user_id,user_name,phone_number,gender,birth_date,registration_date
1,김수민,044-218-1960,F,1965-09-23,2023-12-11 08:36:23
2,김서연,017-863-7940,F,1995-08-14,2023-10-29 06:37:15
3,이상현,053-116-1559,M,1975-05-09,2023-08-05 09:18:10
4,김지훈,032-849-5931,M,1966-05-21,2023-12-18 02:57:13
5,김상호,033-647-5255,M,1973-02-04,2024-01-15 16:04:39
6,윤은영,042-832-7648,F,1973-07-05,2024-02-26 12:43:11
7,김지은,053-641-3953,F,1991-05-19,2024-04-18 15:34:44
8,박수민,044-884-9696,F,1979-05-07,2025-07-02 04:11:14
9,박정훈,033-226-9166,M,1988-12-08,2024-06-10 13:10:35
10,최진우,018-184-5146,M,1970-12-28,2023-07-07 00:26:45
11,오현지,042-814-8932,F,1979-11-02,2023-10-30 15:45:02
12,유하은,016-570-1543,F,1966-11-18,2025-04-06 00:23:36
13,김예지,032-822-7824,F,1986-02-20,2024-09-19 18:03:50
14,남지연,019-346-5787,F,1969-06-20,2023-12-15 18:50:11
15,최상현,044-010-3105,M,1967-05-31,2023-12-25 12:08:00
16,김미정,011-973-7631,F,1968-06-24,2024-05-14 12:31:58
17,박정웅,018-106-5133,M,1972-04-21,2024-05-27 08:25:40
18,이상호,032-781-0801,M,2002-06-27,2025-03-15 14:28:36
19,박상철,055-026-0647,M,1976-03-14,2024-11-24 11:51:30
20,안정숙,063-234-3098,F,1967-01-02,2024-02-18 17:31:10
